Criteria,Quet.Nr,Question,Elaboration on Question,Possible Answers,Type of visit,Skips & Triggers,Changes made,نوع الزيارة,الإجابات الممكنة,السؤال,رقم السؤال,معيار
Center Access,Q0,"Was the service center location available on the Google map, the entity website, or signboards on the roads?","- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,The question was rephrased,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان من السهل تحديد موقع تقديم الخدمة عن طريق موقع قوقل، أو موقع الجهة، أو اللوحات الإرشادية في الطريق؟,Q0,الوصول لمركز الخدمة
Center Access,Q1,"Were the directions on signboards, at the entrance, clear enough to guide you of where to go (Parking, main entrance..)?","- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كانت الارشادات على اللوحات، في المدخل، واضحة بشكل كافي لتعرف طريقك (من  موقف سيارات والمدخل الرئيسي)؟,Q1,الوصول لمركز الخدمة
Facilities Parking,Q3,Did the entity provide enough parking spaces (self-parking or valet)?,"- Please check for empty parking slots
- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3.There was a valet (1)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) 
3.توفرت خدمة صف السيارات (1)
",هل وفرت الجهة مواقف سيارات كافية (مواقف ذاتية او Valet)؟,Q3,مواقف السيارات
Premises Exterior,Q6,Was the exterior area around the building clean and well maintained?,"- No paper, plastic bags, and other rubbish on the floor nothing that requires fixing or repair
- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry,,,استفسار,"1. نعم (1)
2.لا (0) ",هل كان محيط المبـنى الخارجي نظيفا وفي حالة جيدة؟,Q6,المبنى الخارجي
"Premises Interior ",Q9,Was there a directional signboard at the entrance of the building or inside the lobby clearly identifying the concerned department?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان هناك لوحات إرشادية عند مدخـل المبنى أو داخل قاعة الاستقبـال تشيـر بوضوح إلى اتجــاه القسـم المطلوب؟,Q9,المبنى من الداخل
"Premises Interior ",Q10,Was the service center working hours mentioned clearly on the signboards?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry,,,استفسار,"1. نعم (1)
2.لا (0) ",هل ذكرت اللوحات الارشادية أوقات عمل مركز الخدمة بوضوح؟,Q10,المبنى من الداخل
"Premises Interior ",Q11,Were the inner premises of the center including the entrance clean?,"- No paper, plastic bags, and other rubbish on the floor
- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان المركز بما في ذلك المدخل نظيفا؟,Q11,المبنى من الداخل
"Premises Interior ",Q12,Was the center including the entrance crowded?,"- Exceeding the capacity of the center, no enough empty seatings, difficulty moving around due to people blocking hallways or entrances, extended queues, customers are waiting outside the building, etc.
- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (0)
2.No (1)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (0)
2.لا (1) ",هل كان المركز بما فيه المدخل مزدحمًا؟,Q12,المبنى من الداخل
"Premises Interior ",Q12.0,"Was the center's atmosphere comfortable : adequate lighting and temperature, nice smell ….?","Please check: Temperature (not too cold, not too hot) Lighting (not too bright, not too gloomy) Smell (not bad odor)
If no, detail what happened and provide evidence (if applicable)","1.Yes (1)
2.No (0)",Enquiry,,,استفسار,"1. نعم (1)
2.لا (0) ",هل كان جو المركز مريح: إضاءة ودرجة حرارة ملائمان وعدم وجود روائح كريهة….؟,Q12.0,المبنى من الداخل
"Premises Interior ",Q15,Were fire exists marked and visible?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry,,The question was rephrased,استفسار,"1. نعم (1)
2.لا (0) "," هل كان مخرج الطوارئ موجودا ومرئيا؟",Q15,المبنى من الداخل
"Premises Interior ",Q16,Were there any safety concerns in the center?,"- Wet floor, broken tiles, no warning signs for renovations, etc.
- If yes, detail what happened and provide evidence","1.Yes (0)
2.No (1)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (0)
2.لا (1)","هل كانت هناك أي مخاوف تتعلق بالسلامة في المركز؟ - الأرضية مبللة، البلاط مكسور، لا يوجد علامات تحذيرية  للتجديدات الخ .. ",Q16,المبنى من الداخل
"Premises Interior ",Q17,Was there a prayer area available at the service center?,"- In case the prayer area was not inside the service center a signboard should be available to indicate the location of the payer room
- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) 
",هل يتوفر مكان للصلاة في موقع تقديم الخدمة؟,Q17,المبنى من الداخل
"Premises Interior ",Q18,Were there restrooms available for your use for ladies and gents?,"- Please provide evidence
- If no, detail what happened in the comment box","1. Yes, both were available (1)
2. Only Ladies/ Gents restrooms were available (0)
3. No (0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.فقط للسيدات / فقط للرجال (0)
3.لا (0) 
",هل كان هناك دورات مياه متوفرة للاستخدام للرجال والنساء؟,Q18,المبنى من الداخل
"Premises Interior ",Q19,"Were the restrooms clean, well maintained and adequately stocked?","- Nothing was needed (repair/fixing), availability of soap, toilet paper and tissues, cleaniless of floor and/or surfaces, etc.
- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q18 is 1 or 2,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كانت الحمامات نظيفة ،في حالة جيدة ومجهزة بشكل كاف؟,Q19,المبنى من الداخل
"Premises Interior ",Q21,"Are there any special toilets for the people of determination, which are being used efficiently and effectively?","- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل يوجد دورات مياه مخصّصة لأصحاب الهمم قابلة للاستخدام؟,Q21,المبنى من الداخل
"Premises Interior ",Q21.0,Was the counter of receptionist and the surrounding area clean and tight?,"- No personal belongings, cell phone, cups etc.
- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3. I did not meet the receptionist(s) at their desk (N/A)",Enquiry/ Transaction,show if Q34 is 1 or 2 or 3,The options were updated,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) 
3. لم أقابل موظف الاستقبال عند مكتبه ",هل كان كاونتر موظف الإستقبال والمنطقة المحيطة به نظيف ومرتب؟,Q21.0,المبنى من الداخل
"Premises Interior ",Q21.1,Was the counter of the customer service employee and the surrounding area clean and tight ?,"- No personal belongings, cell phone, cups etc.
- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3. I did not meet the employee(s) at their desk (N/A)",Enquiry/ Transaction,show if Q51 is yes,The options were updated,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) 
3. لم أقابل موظف الخدمة عند مكتبه ",هل كان كاونتر موظف خدمة المتعاملين والمنطقة المحيطة به نظيف ومرتب؟,Q21.1,المبنى من الداخل
